Brand,Car Name,Safety,Rating,Price
BMW,BMW 5 Series,5 Star Safety,4.9/5,Rs. 74.40 Lakh
Volvo,Volvo XC60,5 Star Safety,4.9/5,Rs. 70.75 Lakh
Bentley,Bentley Bentayga,5 Star Safety,4.9/5,Rs. 4.10 Crore
Toyota,Toyota Vellfire,5 Star Safety,4.8/5,Rs. 1.22 Crore
Toyota,Toyota Fortuner Legender,5 Star Safety,4.8/5,Rs. 44.51 Lakh
BMW,BMW M340i,5 Star Safety,4.8/5,Rs. 75.90 Lakh
Land Rover,Defender,5 Star Safety,4.8/5,Rs. 1.05 Crore
McLaren,McLaren 720S,5 Star Safety,4.8/5,Rs. 4.65 Crore
Maruti Suzuki,Maruti Dzire,5 Star Safety,4.7/5,Rs. 6.84 Lakh
Tata,Tata Harrier,5 Star Safety,4.7/5,Rs. 15.00 Lakh
